"ID
операции";Дата;Магазин;Артикул;Операция;"Количество
упаковок, шт";Цена руб/шт;Магазин;Товар;Объем;Тара;;
11987;05.06.2021;М08;32;Поставка;400;56;Центральный;Сметана 15%;0,3;литр;;
12092;05.06.2021;М12;32;Поставка;300;61;Центральный;Сметана 15%;0,3;литр;;
12096;05.06.2021;М12;38;Поставка;300;84;Центральный;Сметана 25%;0,3;литр;;
12399;05.06.2021;М22;32;Поставка;50;53;Центральный;Сметана 15%;0,3;литр;;
12401;05.06.2021;М22;38;Поставка;30;64;Центральный;Сметана 25%;0,3;литр;;
12886;05.06.2021;М39;38;Поставка;50;78;Центральный;Сметана 25%;0,3;литр;;
13298;05.06.2021;М54;32;Поставка;100;54;Центральный;Сметана 15%;0,3;литр;;
13979;05.06.2021;М77;38;Поставка;30;64;Центральный;Сметана 25%;0,3;литр;;
14222;05.06.2021;М85;32;Поставка;300;65;Центральный;Сметана 15%;0,3;литр;;
14265;05.06.2021;М86;32;Поставка;100;65;Центральный;Сметана 15%;0,3;литр;;
14305;05.06.2021;М87;38;Поставка;30;67;Центральный;Сметана 25%;0,3;литр;;
15302;06.06.2021;М22;32;Поставка;40;47;Центральный;Сметана 15%;0,3;литр;;
15305;06.06.2021;М22;38;Поставка;30;74;Центральный;Сметана 25%;0,3;литр;;
15512;06.06.2021;М29;32;Поставка;20;63;Центральный;Сметана 15%;0,3;литр;;
15548;06.06.2021;М30;38;Поставка;20;74;Центральный;Сметана 25%;0,3;литр;;
15770;06.06.2021;М37;32;Поставка;100;45;Центральный;Сметана 15%;0,3;литр;;
15969;06.06.2021;М44;32;Поставка;50;48;Центральный;Сметана 15%;0,3;литр;;
15993;06.06.2021;М45;32;Поставка;50;56;Центральный;Сметана 15%;0,3;литр;;
16193;06.06.2021;М52;32;Поставка;20;45;Центральный;Сметана 15%;0,3;литр;;
16696;06.06.2021;М68;38;Поставка;50;69;Центральный;Сметана 25%;0,3;литр;;
16719;06.06.2021;М69;32;Поставка;50;45;Центральный;Сметана 15%;0,3;литр;;
16891;06.06.2021;М75;38;Поставка;100;76;Центральный;Сметана 25%;0,3;литр;;
17849;07.06.2021;М08;38;Поставка;200;78;Центральный;Сметана 25%;0,3;литр;;
18118;07.06.2021;М17;32;Поставка;200;52;Центральный;Сметана 15%;0,3;литр;;
18121;07.06.2021;М17;38;Поставка;100;76;Центральный;Сметана 25%;0,3;литр;;
18181;07.06.2021;М19;38;Поставка;30;57;Центральный;Сметана 25%;0,3;литр;;
18419;07.06.2021;М27;32;Поставка;100;65;Центральный;Сметана 15%;0,3;литр;;
18490;07.06.2021;М29;32;Поставка;20;52;Центральный;Сметана 15%;0,3;литр;;
18973;07.06.2021;М45;32;Поставка;100;59;Центральный;Сметана 15%;0,3;литр;;
18977;07.06.2021;М45;38;Поставка;50;81;Центральный;Сметана 25%;0,3;литр;;
19170;07.06.2021;М52;38;Поставка;10;71;Центральный;Сметана 25%;0,3;литр;;
19238;07.06.2021;М54;38;Поставка;50;64;Центральный;Сметана 25%;0,3;литр;;
20212;07.06.2021;М86;38;Поставка;50;78;Центральный;Сметана 25%;0,3;литр;;
20911;08.06.2021;М10;32;Поставка;40;45;Центральный;Сметана 15%;0,3;литр;;
21112;08.06.2021;М17;38;Поставка;200;60;Центральный;Сметана 25%;0,3;литр;;
21164;08.06.2021;М19;32;Поставка;40;56;Центральный;Сметана 15%;0,3;литр;;
21166;08.06.2021;М19;38;Поставка;30;81;Центральный;Сметана 25%;0,3;литр;;
21271;08.06.2021;М22;32;Поставка;30;52;Центральный;Сметана 15%;0,3;литр;;
21435;08.06.2021;М27;32;Поставка;50;58;Центральный;Сметана 15%;0,3;литр;;
21822;08.06.2021;М39;38;Поставка;50;57;Центральный;Сметана 25%;0,3;литр;;
22211;08.06.2021;М52;32;Поставка;20;56;Центральный;Сметана 15%;0,3;литр;;
22214;08.06.2021;М52;38;Поставка;20;79;Центральный;Сметана 25%;0,3;литр;;
22425;08.06.2021;М59;32;Поставка;300;47;Центральный;Сметана 15%;0,3;литр;;
22428;08.06.2021;М59;38;Поставка;300;72;Центральный;Сметана 25%;0,3;литр;;
22983;08.06.2021;М77;38;Поставка;30;58;Центральный;Сметана 25%;0,3;литр;;
23275;08.06.2021;М87;32;Поставка;50;47;Центральный;Сметана 15%;0,3;литр;;
24146;09.06.2021;М17;32;Поставка;200;64;Центральный;Сметана 15%;0,3;литр;;
24154;09.06.2021;М17;38;Поставка;100;73;Центральный;Сметана 25%;0,3;литр;;
24229;09.06.2021;М19;38;Поставка;40;66;Центральный;Сметана 25%;0,3;литр;;
24514;09.06.2021;М29;38;Поставка;20;73;Центральный;Сметана 25%;0,3;литр;;
24541;09.06.2021;М30;32;Поставка;20;60;Центральный;Сметана 15%;0,3;литр;;
25009;09.06.2021;М46;38;Поставка;30;68;Центральный;Сметана 25%;0,3;литр;;
25184;09.06.2021;М52;38;Поставка;20;63;Центральный;Сметана 25%;0,3;литр;;
25238;09.06.2021;М54;32;Поставка;50;65;Центральный;Сметана 15%;0,3;литр;;
25395;09.06.2021;М59;38;Поставка;300;60;Центральный;Сметана 25%;0,3;литр;;
25534;09.06.2021;М64;38;Поставка;10;75;Центральный;Сметана 25%;0,3;литр;;
25636;09.06.2021;М68;38;Поставка;50;68;Центральный;Сметана 25%;0,3;литр;;
26407;09.06.2021;М94;32;Поставка;400;57;Центральный;Сметана 15%;0,3;литр;;
26408;09.06.2021;М94;38;Поставка;200;72;Центральный;Сметана 25%;0,3;литр;;
